sample_id,cram_url,md5sum
NA19225,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239452/NA19225.final.cram,269ef5aea62493d5ee573729322386fb
NA20516,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239799/NA20516.final.cram,c8f2fcce001fd32295d17689ca586ae5
NA20518,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239801/NA20518.final.cram,e46e239d33cb02591128a2c85de6ed31
NA20524,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239806/NA20524.final.cram,009460261475fe76315bbd8c30032b0c
HG00137,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240143/HG00137.final.cram,1a0223a577fd5a6a4390e13c67ece662
HG00142,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240148/HG00142.final.cram,3742e8c6e7854b04fb4a85c0d7fdac00
HG00146,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240151/HG00146.final.cram,b741b5f810a0db0d6331e9fae76e54ec
HG00155,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240156/HG00155.final.cram,54e54f53f185923681e04267e5e60f9d
NA06989,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239459/NA06989.final.cram,cec0bc0d7221741c68d39e1e6f5de531
NA12058,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239464/NA12058.final.cram,165911923f042a68a90f509d583b7db6
NA12340,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239471/NA12340.final.cram,356f8a821550725fced51802af8c77de
NA12383,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239476/NA12383.final.cram,b01dcd61fbaf6a7affaaeb466a406dcb
NA12400,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239478/NA12400.final.cram,c09b439ab04568b8bf67656f055d1b86
NA20532,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239813/NA20532.final.cram,b3b94ed066893da6cf789e5890038756
NA20540,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239820/NA20540.final.cram,3c96b944edff43bceb60bd037f62de46
NA20581,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239825/NA20581.final.cram,6df4043d1bcd497d37cb24eef489f112
NA20585,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239827/NA20585.final.cram,4cc0b6024aa5f58462a4fd392a669e45
HG00174,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240162/HG00174.final.cram,6036ee947c4348cd2afa1b1ceb657bbe
HG00182,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240169/HG00182.final.cram,60b44fda28c5de58d732fe6a414bd0e8
HG00188,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240174/HG00188.final.cram,99ff21e56e8e39d1a8addccf1c90c903
HG00240,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3240181/HG00240.final.cram,928e3cb3447fc65c766492f111ff501f
NA12830,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3243162/NA12830.final.cram,9619e289149fb22e5d25d3613857ed44
HG00251,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241782/HG00251.final.cram,da8141a7521d34029f5eb8a7b9232d59
HG00278,ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241787/HG00278.final.cram,efa3c5d963f6218ff5c102c42464e7f9
